title,authors,categories,average_rating
The Love of the Last Tycoon,F. Scott Fitzgerald,Fiction,"3,65"
The Song of Rhiannon,Evangeline Walton,Fiction,"4,02"
Heart Songs and Other Stories,Annie Proulx,Fiction,"3,93"
The voyage of the Dawn Treader,Clive Staples Lewis,Juvenile Fiction,"4,09"
"The Chronicles of Narnia: Lion, the witch and the wardrobe",Clive Staples Lewis,Fairy tales,"4,26"
The Short Stories of Ernest Hemingway,Ernest Hemingway,Fiction,"4,26"
"The Screwtape Letters ; With, Screwtape Proposes a Toast",Clive Staples Lewis,Christianity,"4,22"
Reason in History,Georg Wilhelm Friedrich Hegel,Philosophy,"3,64"
The Elements of Style,William Strunk;Elwyn Brooks White,Language Arts & Disciplines,"4,2"
The Presocratics,Philip Wheelwright,Philosophy,"4,04"
Spandau,Albert Speer,History,"4,12"
The Rumble Seat Pony,Clarence William Anderson,"Animals, Treatment of","4,17"
The Journey with Grandmother,Edith Unnerstad,Grandmothers,"3,75"
Tyranny of the Majority,Lani Guinier,History,"3,82"
The Origins of the Civil Rights Movement,Aldon D. Morris,History,"4,04"
Presidential Power and the Modern Presidents,Richard E. Neustadt,History,"3,79"
"Rest, Rabbit, Rest",Jacquelyn Reinach;Richard Hefter,Juvenile Fiction,"4,01"
Where the Red Fern Grows,Wilson Rawls,Juvenile Fiction,"4,37"
Poppy's Return,Avi,Juvenile Fiction,"3,99"
Diary of a Spider,Doreen Cronin,Juvenile Fiction,"4,25"
An Old-Fashioned Thanksgiving,Louisa May Alcott;James Bernardin,Juvenile Fiction,"3,7"
The Paradox of Choice,Barry Schwartz,Business & Economics,"3,84"
How to Read Literature Like a Professor,Thomas C. Foster,Literary Criticism,"3,65"
The Amazing Maurice and His Educated Rodents,Terry Pratchett,Juvenile Fiction,"4,05"
The Wee Free Men,Terry Pratchett,Juvenile Fiction,"4,27"
Going Postal,Terry Pratchett,Fiction,"4,38"
Modern Mind,Peter Watson,Science,"4,27"
She Went All the Way,Meg Cabot,Fiction,"3,69"
Island,Aldous Huxley,Fiction,"3,85"
A Year in the Life of William Shakespeare,James Shapiro,Biography & Autobiography,"4,09"
Lucy Sullivan Is Getting Married,Marian Keyes,Fiction,"3,76"
The Terminal Man,Michael Crichton,Fiction,"3,36"
The Art of the Novel,Milan Kundera,Literary Criticism,"3,96"
The Bromeliad Trilogy,Terry Pratchett,Juvenile Fiction,"4,06"
"Merry Christmas, Amelia Bedelia",Peggy Parish,Juvenile Fiction,"4,29"
Identity,Milan Kundera,Fiction,"3,68"
The thief of always,Clive Barker,Fiction,"4,19"
The Illustrated Alchemist,Paulo Coelho;Alan R. Clarke;Moebius,Fiction,"3,85"
Mars and Venus Book of Days,John Gray,Family & Relationships,"3,54"
The Last of the Really Great Whangdoodles,Julie Andrews Edwards,Juvenile Fiction,"4,25"
Today I Feel Silly & Other Moods That Make My Day,Jamie Lee Curtis,Juvenile Fiction,"4,15"
The Missing Piece Meets the Big O,Shel Silverstein,Juvenile Fiction,"4,33"
"Lafcadio, the Lion Who Shot Back",Shel Silverstein,Juvenile Fiction,"4,15"
The Secret Garden Cookbook,Amy Cotler,Juvenile Nonfiction,"4,28"
Laura's Album,William Anderson,Juvenile Nonfiction,"4,3"
Quivers,Robin Quivers,African Americans in radio broadcasting,"3,51"
Moonspinners,Mary Stewart,Fiction,"4,03"
Small Wonder,Barbara Kingsolver,Literary Collections,"4,01"
Worlds Enough & Time,Dan Simmons,Fiction,"3,75"
The Cheese Monkeys,Chip Kidd,Fiction,"3,75"
Travels,Michael Crichton,Biography & Autobiography,"3,95"
Caesar,Colleen McCullough,Fiction,"4,36"
The Forever War,Joe Haldeman,Fiction,"4,15"
Amelia Bedelia Goes Camping,Peggy Parish,Juvenile Fiction,"4,14"
The Secret Sister,Elizabeth Lowell,Fiction,"3,65"
Amelia Bedelia Helps Out,Peggy Parish,Juvenile Fiction,"4,25"
Whirlpool,Elizabeth Lowell,Fiction,"3,78"
"Teach Us, Amelia Bedelia",Peggy Parish,Juvenile Fiction,"4,21"
Cryptonomicon,Neal Stephenson,Fiction,"4,25"
Falling Up,Shel Silverstein,Juvenile Nonfiction,"4,34"
Anansi Boys,Neil Gaiman,Fiction,"4,02"
Fragile Things,Neil Gaiman,Fiction,"4,01"
What Went Wrong?,Bernard Lewis,History,"3,49"
Letters from the Earth,Mark Twain,Literary Criticism,"4,22"
Savannah Blues,Mary Kay Andrews,Fiction,"3,98"
The Whipping Boy,Sid Fleischman,Juvenile Fiction,"3,56"
The Innovator's Dilemma,Clayton M. Christensen,Business & Economics,"3,99"
A Nose for Murder,Lee Charles Kelley,Fiction,"3,47"
Happiness,Will Ferguson,Fiction,"3,78"
Size 12 Is Not Fat,Meg Cabot,Fiction,"3,74"
Warrior of the Light,Paulo Coelho,Fiction,"3,7"
The Devil and Miss Prym,Paulo Coelho,Fiction,"3,6"
The Big Bing,Stanley Bing,Business & Economics,"3,08"
One Hundred Years of Solitude,Gabriel Garcia Marquez,Fiction,"4,06"
Walt Whitman,Justin Kaplan,Biography & Autobiography,"3,99"
How to Make Love Like a Porn Star,Jenna Jameson;Neil Strauss,Biography & Autobiography,"3,75"
The Outsider,Richard Wright,Fiction,"4,16"
1421,Gavin Menzies,History,"3,59"
The Andromeda Strain,Michael Crichton,Fiction,"3,89"
Congo,Michael Crichton,Fiction,"3,58"
Johnny and the Dead,Terry Pratchett,Juvenile Fiction,"3,78"
Amelia Bedelia 40th Anniversary Collection,Peggy Parish,Juvenile Fiction,"4,41"
The Girls of Lighthouse Lane #3,Thomas Kinkade;Erika Tamar,Juvenile Fiction,"3,96"
The Bradbury Chronicles,Sam Weller,Biography & Autobiography,"4,22"
Three Rotten Eggs,Gregory Maguire,Juvenile Fiction,"3,74"
The Wicked Day,Mary Stewart,Fiction,"4,09"
The Game,Neil Strauss,Biography & Autobiography,"3,74"
"The Lion, the Witch and the Wardrobe (picture book edition)",C. S. Lewis,Juvenile Fiction,"4,19"
Gold,Isaac Asimov,Fiction,"3,99"
The Kindness of Strangers,Katrina Kittle,Fiction,"4,01"
Built to Last,Jim Collins;Jerry I. Porras,Business & Economics,"3,98"
Fluke,Christopher Moore,Fiction,"3,75"
Lord of Light,Roger Zelazny,Fiction,"4,1"
The Perennial Philosophy,Aldous Huxley,Philosophy,"4,23"
A Crack in the Edge of the World,Simon Winchester,History,"3,78"
Dead Witch Walking,Kim Harrison,Fiction,"4,04"
"The Good, the Bad, and the Undead",Kim Harrison,Fiction,"4,26"
"Men Are from Mars, Women Are from Venus",John Gray,Family & Relationships,"3,54"
Sabriel (adult),Garth Nix,Fiction,"4,17"
Slouching Toward Nirvana,Charles Bukowski,Poetry,"3,99"
Bad Childhood---Good Life,Laura Schlessinger,Self-Help,"3,92"
Cat Cross Their Graves,Shirley Rousseau Murphy,Fiction,"4,3"
Cat Breaking Free,Shirley Rousseau Murphy,Fiction,"4,2"
Slider,Patrick Robinson,Sports & Recreation,"4,18"
The Black Dahlia Files,Don Wolfe,True Crime,"3,84"
Metro Girl,Janet Evanovich,Fiction,"3,62"
Motor Mouth,Janet Evanovich,Fiction,"3,67"
Mystic River,Dennis Lehane,Fiction,"4,18"
Great Short Works of Herman Melville,Herman Melville,Fiction,"4,02"
The Day I Swapped My Dad for Two Goldfish,Neil Gaiman,Juvenile Fiction,"4,03"
Eleven Minutes,Paulo Coelho,Fiction,"3,69"
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,Psychology,"3,77"
Ulysses S. Grant,Michael Korda,Biography & Autobiography,"3,88"
A Dirty Job,Christopher Moore,Fiction,"4,07"
Quicksilver,Neal Stephenson,Fiction,"3,93"
Every Book Its Reader,Nicholas A. Basbanes,Literary Criticism,"3,96"
Flirting With Danger,Suzanne Enoch,Fiction,"3,93"
Lost Horizon,James Hilton,Fiction,"3,92"
The Doors of Perception and Heaven and Hell,Aldous Huxley,Philosophy,"3,94"
Thanksgiving,Janet Evanovich,Fiction,"3,6"
Love Overboard,Janet Evanovich,Fiction,"3,65"
Back to the Bedroom,Janet Evanovich,Fiction,"3,67"
The Rocky Road to Romance,Janet Evanovich,Fiction,"3,67"
Thomas Jefferson,Christopher Hitchens,Biography & Autobiography,"3,92"
Muhammad,Karen Armstrong,Biography & Autobiography,"4,04"
Meeting Jesus Again for the First Time,Marcus J. Borg,Religion,"4,14"
Reading the Bible Again for the First Time,Marcus J. Borg,Religion,"4,13"
Shadow of the Almighty,Elisabeth Elliot,Religion,"4,39"
The Dance of the Dissident Daughter,Sue Monk Kidd,Religion,"3,96"
C.S. Lewis,C. S. Lewis,Religion,"4,31"
The Screwtape Letters,C. S. Lewis,Religion,"4,22"
Mere Christianity,C. S. Lewis,Religion,"4,32"
Learning to Love,Thomas Merton,Religion,"4,5"
The Mediator #4: Darkest Hour,Meg Cabot,Juvenile Fiction,"4,17"
Cash,Johnny Cash,Biography & Autobiography,"4,07"
"The Collected Letters of C.S. Lewis, Volume 1",C. S. Lewis,Biography & Autobiography,"4,37"
Touching the Void,Joe Simpson,Sports & Recreation,"4,21"
Anybody Out There?,Marian Keyes,Fiction,"3,91"
My Little Pony: Hide-and-Seek,Jennifer Frantz,Juvenile Fiction,"4,14"
The Confusion,Neal Stephenson,Fiction,"4,25"
Bridge to Terabithia (rack),Katherine Paterson,Juvenile Fiction,"3,99"
Practical Demonkeeping,Christopher Moore,Fiction,"3,82"
Island of the Sequined Love Nun,Christopher Moore,Fiction,"3,79"
The Lust Lizard of Melancholy Cove,Christopher Moore,Fiction,"3,86"
Weetzie Bat,Francesca Lia Block,Juvenile Fiction,"3,74"
Behind the Curtain,Peter Abrahams,Juvenile Fiction,"3,9"
"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,"3,71"
Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,"3,53"
Son of a Witch,Gregory Maguire,Fiction,"3,47"
This Rough Magic,Mary Stewart,Fiction,"4,05"
Airs Above the Ground,Mary Stewart,Fiction,"4,04"
The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,"4,15"
Beauty,Robin McKinley,Juvenile Fiction,"4,05"
Mating in Captivity,Esther Perel,Psychology,"4,13"
Forgotten New York,Kevin Walsh,Travel,"4,18"
The Dead Beat,Marilyn Johnson,Social Science,"3,41"
Charms for the Easy Life,Kaye Gibbons,Fiction,"4,02"
The Reading Group,Elizabeth Noble,Fiction,"3,34"
A Couple of April Fools,Gregory Maguire,Juvenile Fiction,"3,5"
What Christians Believe,C. S. Lewis,Religion,"4,2"
Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,"3,84"
YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,"3,82"
The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,"4,26"
"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,"4,21"
"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,"3,89"
A Quick Bite,Lynsay Sands,Fiction,"3,91"
Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,"4,27"
Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,"4,16"
The Final Solution,Michael Chabon,Fiction,"3,31"
The Cat's Pajamas,Ray Bradbury,Fiction,"3,73"
Holy Skirts,Rene Steinke,Fiction,"3,61"
Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,4
A False Mirror,Charles Todd,Fiction,"4,02"
Cracks in My Foundation,Marian Keyes,Fiction,"3,81"
A Fistful of Charms,Kim Harrison,Fiction,"4,28"
For a Few Demons More,Kim Harrison,Fiction,"4,33"
Mysteries of Pittsburgh,Michael Chabon,Fiction,"3,64"
Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,"3,9"
Flight of the Nighthawks,Raymond E. Feist,Fiction,"3,95"
Into a Dark Realm,Raymond E. Feist,Fiction,4
The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,"3,08"
The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,"3,99"
Last of the Wilds,Trudi Canavan,Fiction,"4,03"
Voice of the Gods,Trudi Canavan,Fiction,"4,08"
Missing Mom,Joyce Carol Oates,Fiction,"3,54"
"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,"4,49"
Touch Not the Cat,Mary Stewart,Fiction,"3,91"
King of the Vagabonds,Neal Stephenson,Fiction,"4,16"
Odalisque,Neal Stephenson,Fiction,"4,2"
Black Boy,Richard Wright,Biography & Autobiography,"4,05"
The Sheltering Sky,Paul Bowles,Fiction,"3,91"
Rat Bastards,John Shea,Biography & Autobiography,"3,51"
The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,"4,14"
The Thorn Birds,Colleen McCullough,Fiction,"4,23"
Krakatoa,Simon Winchester,History,"3,87"
The Professor and the Madman,Simon Winchester,Biography & Autobiography,"3,84"
Hit Parade,Lawrence Block,Fiction,"3,86"
The Curtain,Milan Kundera,Literary Collections,"3,96"
"A Hard Day's Write, 3e",Steve Turner,Music,"4,18"
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,"4,21"
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,"3,68"
Sex with the Queen,Eleanor Herman,History,"3,91"
Brave New World,Aldous Huxley,Fiction,"3,98"
Queen of Babble,Meg Cabot,Fiction,"3,69"
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,"4,04"
Good Omens,Neil Gaiman;Terry Pratchett,Fiction,"4,25"
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,"3,78"
Continental Drift,Russell Banks,Fiction,"3,87"
The Burglar Who Thought He Was Bogart,Lawrence Block,Fiction,"3,89"
Next,Michael Crichton,Fiction,"3,49"
How to Be Popular,Meg Cabot,Juvenile Fiction,"3,54"
The Annotated Charlotte's Web,E. B. White,Juvenile Nonfiction,"4,16"
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,Juvenile Fiction,"4,1"
The Autumn of the Patriarch,Gabriel Garcia Marquez,Fiction,"3,85"
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,Comics & Graphic Novels,"3,31"
Little House in the Big Woods,Laura Ingalls Wilder,Juvenile Fiction,"4,18"
Farmer Boy,Laura Ingalls Wilder,Juvenile Fiction,"4,06"
The Long Winter,Laura Ingalls Wilder,Juvenile Fiction,"4,14"
Little Town on the Prairie,Laura Ingalls Wilder,Juvenile Fiction,"4,18"
The First Four Years,Laura Ingalls Wilder,Juvenile Fiction,"3,88"
The Alchemist - Gift Edition,Paulo Coelho,Fiction,"3,85"
Pretty Things,Liz Goldwyn,Biography & Autobiography,"4,31"
Eaters of the Dead,Michael Crichton,Fiction,"3,66"
Genome,Matt Ridley,Science,"4,03"
The Zero,Jess Walter,Fiction,"3,5"
Kitchen Confidential Updated Ed,Anthony Bourdain,Biography & Autobiography,"4,06"
DREAM & THE UNDERWOR,James Hillman,Psychology,"4,23"
The Crying of Lot 49,Thomas Pynchon,Fiction,"3,7"
An American Childhood,Annie Dillard,Biography & Autobiography,"3,91"
Teaching a Stone to Talk,Annie Dillard,Literary Criticism,"4,2"
Holy the Firm,Annie Dillard,Literary Criticism,"4,22"
Think on These Things,Jiddu Krishnamurti,Religion,"4,4"
The Dance of Intimacy,Harriet Lerner,Psychology,"4,06"
Tell My Horse,Zora Neale Hurston,Fiction,"3,97"
Jonah's Gourd Vine,Zora Neale Hurston,Fiction,4
The Chaneysville Incident,David Bradley,History,"3,96"
The Writing Life,Annie Dillard,Literary Criticism,"4,03"
The Lost Continent,Bill Bryson,Travel,"3,83"
Three by Annie Dillard,Annie Dillard,Fiction,"4,34"
Declarations of Independence,Howard Zinn,Political science,"4,26"
The Complete Stories,Zora Neale Hurston,Fiction,"4,25"
"Legends, Lies & Cherished Myths of World History",Richard Shenkman,History,"3,48"
The Infinite Plan,Isabel Allende,Fiction,"3,71"
Soul Mates,Thomas Moore,Psychology,4
"Cathedral, Forge and Waterwheel",Joseph Gies,History,"3,85"
The Throne of the Third Heaven of the Nations Millennium General Assembly,Denis Johnson,Poetry,"4,16"
Success Stories,Russell Banks,Fiction,"3,72"
Testaments Betrayed,Milan Kundera,Literary Collections,"4,04"
Mr. Ives' Christmas,Oscar Hijuelos,Fiction,"3,76"
Slowness,Milan Kundera,Fiction,"3,66"
As Nature Made Him,John Colapinto,Medical,"3,97"
