title,authors,categories,average_rating
Notes from Underground,Fyodor Dostoyevsky,Fiction,"4,2"
Philosophical Dictionary,Francois Voltaire,Literary Collections,"4,09"
Li Po and Tu Fu,Arthur R. V. Cooper,Poetry,"4,11"
Phaedrus,Plato,Philosophy,"4,12"
Love,Stendhal,Literary Collections,"3,73"
The Oresteia,Aeschylus,Drama,"4,01"
Lun Yü,Confucius,Philosophy,"3,84"
Notre-Dame de Paris,Victor Hugo;John Sturrock,Fiction,"3,99"
Spring Torrents,Иван Сергеевич Тургенев;Leonard Shapiro,Fiction,"3,94"
Terre,Émile Zola,Fiction,"4,08"
Eugene Onegin,Aleksandr Sergeevich Pushkin;Charles Johnston,English poetry,"4,09"
Love Visions,Geoffrey Chaucer,Literary Criticism,"3,58"
Les Miserables,Victor Hugo;Norman Denny,Fiction,"4,16"
Divina Commedia. English,Dante Alighieri,Poetry,"4,02"
Divina Commedia. English,Dante Alighieri,Poetry,"3,95"
Twilight of Idols and Anti-Christ,Friedrich Nietzsche,Philosophy,"4,16"
Sketches from a Hunter's Album,Ivan Turgenev,Fiction,"3,93"
Gargantua and Pantagruel,Francois Rabelais;Michael Andrew Screech,Biography & Autobiography,"3,71"
Either/Or,Soren Kierkegaard,Philosophy,"4,17"
The Complete Essays,Michel Montaigne,Literary Collections,"4,23"
The Symposium,Plato;Christopher Gill,Amour - Ouvrages avant 1800,"4,03"
Poetics,Aristotle;Malcolm Heath,Literary Criticism,"3,82"
What is Art?,Leo Tolstoy;Richard Pevear;Larissa Volokhonsky,Art,"3,7"
Maxims and Reflections,Johann Goethe,Literary Collections,"3,8"
The Bacchae and Other Plays,Euripides;John N. Davie;R. B. Rutherford,Drama,"4,13"
Democracy in America,Alexis Tocqueville;Gerald Bevan;Isaac Kramnick,History,"4,02"
The Consolation of Philosophy,Boethius;Victor Watts,Literary Criticism,"3,97"
Metamorphosis,Ovid;David Raeburn,Fiction,"4,05"
Sentimental Education,Gustave Flaubert;Robert Baldick;Geoffrey Wall,Fiction,"3,83"
Three Tales,Gustave Flaubert;Roger Whitehouse;Geoffrey Wall,Fiction,"3,71"
Dead Souls,Nikolay Gogol,Fiction,"3,99"
Lysistrata and Other Plays,Aristophanes;Alan H. Sommerstein,Drama,"3,96"
Early Greek Philosophy,Jonathan Barnes,Philosophy,"4,09"
The Black Tulip,Alexandre Dumas Pere,Fiction,"3,8"
City of God,Augustine;Henry Scowcroft Bettenson;Gillian Rosemary Evans,History,"3,92"
The Histories,Herodotus,History,"3,98"
Don Quixote,Miguel de Cervantes Saavedra,Fiction,"3,87"
Madame Bovary,Gustave Flaubert;Geoffrey Wall,Fiction,"3,66"
The Republic,Plato;Sir Henry Desmond Pritchard Lee,Philosophy,"3,93"
Anna Karenina,Leo Tolstoy;Richard Pevear,Fiction,"4,04"
The Twelve Caesars,Suetonius,Fiction,"4,05"
Beyond Good and Evil,Friedrich Nietzsche,Philosophy,"4,02"
The Brothers Karamazov,Fyodor Dostoyevsky,Fiction,"4,32"
The Last Days of Socrates,Plato;Hugh Tredennick,Fiction,"4,07"
The Aeneid,Virgil,Literary Criticism,"3,83"
The Nicomachean Ethics,Aristotle,Philosophy,"3,93"
The Birds and Other Plays,Aristophanes;David Barrett;Alan H. Sommerstein,Drama,"4,13"
The Women's War,Alexandre Dumas,Fiction,"3,95"
Time of Wonder,Robert McCloskey,Juvenile Fiction,"4,08"
Lentil,Robert McCloskey,Juvenile Fiction,"4,12"
Christmas in Noisy Village,Astrid Lindgren;Ilon Wikland,Juvenile Fiction,"4,18"
The Giraffe and the Pelly and Me,Roald Dahl;Quentin Blake,Candy,"3,81"
Wuthering Heights,Emily Brontë,Fiction,"3,84"
Pride and Prejudice,Jane Austen,Courtship,"4,25"
Far from the Madding Crowd,Thomas Hardy,England,"3,94"
Dracula,Bram Stoker,"Dracula, Count (Fictitious character)","3,99"
The Railway Children,E. Nesbit,Fiction,4
The Sonnets,William Shakespeare,Drama,"4,25"
Hamlet,William Shakespeare,Drama,"4,01"
A Midsummer Night's Dream,William Shakespeare,Drama,"3,94"
Critical Studies,Kathleen Parkinson,Literary Criticism,"3,88"
Ten Short Stories,Roald Dahl,Short stories,"3,82"
Chocolat,Joanne Harris,Fiction,"3,96"
Bridget Jones's Diary,Helen Fielding,Fiction,"3,76"
Sammlung,William Shakespeare,Drama,"4,59"
In the Heart of the Sea,Nathaniel Philbrick,History,"4,16"
Door Wide Open,Jack Kerouac,Biography & Autobiography,"3,82"
Moonraker,Ian Fleming,"Bond, James (Fictitious character)","3,73"
How to Build a Time Machine,Paul Davies,Science,"3,82"
Stiff,Mary Roach,Dead,"4,06"
Under The Duvet,Marian Keyes,Fiction,"3,51"
Golden Buddha,Clive Cussler;Craig Dirgo,"Cabrillo, Juan (Fictitious character)","3,89"
Jamie's Kitchen,Jamie Oliver,Cookery,"3,89"
The Fabric of the Cosmos,Brian Greene,Science,"4,12"
You Shall Know Our Velocity,Dave Eggers,Fiction,"3,63"
The Merchant of Venice,William Shakespeare;Peter Holland,Jews,"3,8"
Complete Maus,Art Spiegelman,Children of Holocaust survivors,"4,55"
How to Breathe Underwater,Julie Orringer,Families,"3,96"
Henry IV Part Two,William Shakespeare;Adrian Poole,Literary Criticism,"3,8"
Stupid White Men,Michael Moore,American wit and humor,"3,31"
Finding time again,Marcel Proust,Fiction,"4,48"
Vineland,Thomas Pynchon,Fiction,"3,68"
Pan,Knut Hamsun,Fiction,"3,9"
Forty Stories,Donald Barthelme,"Experimental fiction, American","4,21"
The Wife,Sigrid Undset,Fiction,"4,15"
Mrs Dalloway,Virginia Woolf,Fiction,"3,79"
The Collected Dorothy Parker,Dorothy Parker,Classical fiction,"4,29"
Ulysses,James Joyce,Fiction,"3,74"
A Confederacy of Dunces,John Kennedy Toole,Classical fiction,"3,89"
Sammlung,Jorge Luis Borges;Eliot Weinberger,Argentine literature,"4,54"
"Speak, Memory",Vladimir Nabokov;Vladimir Vladimirovich Nabokov,"Novelists, American","4,19"
Howards End,Edward Morgan Forster,Brothers,"3,96"
A Room of One's Own,Virginia Woolf,Fiction,"4,13"
Tender is the Night,F. Scott Fitzgerald,Fiction,"3,82"
A Spy In The House Of Love,Anais Nin,Fiction,"3,68"
Keep the Aspidistra Flying,George Orwell,Fiction,"3,88"
The Flame Trees of Thika,Elspeth Huxley,Biography & Autobiography,"4,12"
Orlando,Virginia Woolf,Men,"3,86"
The Good Soldier Svejk,Jaroslav Hašek,Czechoslovakia,"4,11"
Rhinoceros,Eugène Ionesco,French drama,"4,01"
Labyrinths,Jorge Luis Borges,Classical fiction,"4,46"
The Dharma Bums,Jack Kerouac,Fiction,"3,93"
The Subterraneans,Jack Kerouac,Fiction,"3,68"
One Hundred Years of Solitude,Gabriel García Márquez,Latin America,"4,06"
Tortilla Flat,John Steinbeck,Fiction,"3,83"
The Plague,Albert Camus,Epidemics,"3,98"
Orwell in Spain,George Orwell,Fiction,"4,33"
The Years,Virginia Woolf,Fiction,"3,77"
The Autobiography of Alice B. Toklas,Gertrude Stein,Biography & Autobiography,"3,59"
Nausea,Jean-Paul Sartre;Robert Baldick,Fiction,"3,92"
The House of Bernarda Alba and Other Plays,Federico García Lorca;Michael Dewell;Carmen Zapata,Repression (Psychology),"4,07"
Go Tell it on the Mountain,James Baldwin,Fiction,"4,01"
Answered Prayers,Truman Capote,Authors,"3,48"
The Log from the Sea of Cortez,John Steinbeck,Biography & Autobiography,"3,84"
"The Sea, the Sea",Iris Murdoch,Fiction,"3,92"
A Fairly Honourable Defeat,Iris Murdoch,Fiction,"3,94"
Mysteries,Knut Hamsun,Fiction,"4,1"
Giovanni's Room,James Baldwin,Fiction,"4,23"
The Bell,Iris Murdoch,Fiction,"3,88"
The Call of Cthulhu and Other Weird Stories,H. P. Lovecraft,"Horror tales, American","4,22"
Seven Gothic Tales,Isak Dinesen,Fiction,"3,94"
Orientalism,Edward W. Said,History,"4,09"
One Flew Over the Cuckoo's Nest,Ken Kesey,Mentally ill,"4,19"
Mr Majeika and the School Trip,Humphrey Carpenter,Juvenile Fiction,"3,81"
The Duplicate,William Sleator,Juvenile Fiction,"3,68"
The Beasties,William Sleator,Juvenile Fiction,"3,84"
Crazy,Benjamin Lebert,Handicapped youth,"2,92"
Serena and the Sea Serpent,Garth Nix,Sea monsters,"3,59"
Skin and Other Stories,Roald Dahl,Juvenile Fiction,"4,06"
Westmark,Lloyd Alexander,Juvenile Fiction,"3,92"
The Kestrel,Lloyd Alexander,Juvenile Fiction,"3,99"
James and the Giant Peach,Roald Dahl;Quentin Blake,Adventure stories,4
Boy,Roald Dahl,"Authors, English","4,1"
The Outsiders,S. E. Hinton,Alienation (Social psychology),"4,08"
"Raffles, the Amateur Cracksman",Ernest William Hornung,Fiction,"3,61"
"Frankenstein, Or, The Modern Prometheus",Mary Wollstonecraft Shelley,Fiction,"3,78"
Pygmalion,George Bernard Shaw,Literary Criticism,"3,9"
Pride and Prejudice,Jane Austen,Fiction,"4,25"
Emma,Jane Austen,Fiction,"3,99"
A Tale of Two Cities,Charles Dickens,Fiction,"3,83"
The Woman in White,Wilkie Collins,Fiction,"3,99"
The Mill on the Floss,George Eliot,Fiction,"3,79"
The Portrait of a Lady,Henry James,Fiction,"3,77"
Mansfield Park,Jane Austen,Fiction,"3,85"
Robinson Crusoe,Daniel Defoe,Fiction,"3,67"
Vanity Fair,William Makepeace Thackeray,Fiction,"3,78"
The Turn of the Screw and The Aspern Papers,Henry James,Fiction,"3,79"
Little Dorrit,Charles Dickens,Fiction,"3,98"
Tono-Bungay,H.G. Wells,Fiction,"3,42"
A Passage to India,Edward Morgan Forster;Pankaj Mishra,Fiction,"3,68"
"Moby-Dick, Or, The Whale",Herman Melville,Fiction,"3,49"
Icy Sparks,Gwyn Hyman Rubio,Fiction,"3,69"
Bridget Jones's Guide to Life,Helen Fielding,Fiction,"3,48"
Getting Things Done,David Allen,Business & Economics,"3,99"
East of Eden,John Steinbeck,Fiction,"4,37"
Cannery Row,John Steinbeck,Fiction,"4,03"
Travels with Charley,John Steinbeck,Biography & Autobiography,"4,08"
Salt,Mark Kurlansky,History,"3,74"
The Eyre Affair,Jasper Fforde,Fiction,"3,91"
Youth,J. M. Coetzee,Fiction,"3,79"
Word Freak,Stefan Fatsis,Biography & Autobiography,"3,82"
"The Fall of Berlin, 1945",Antony Beevor,History,"4,28"
The Last American Man,Elizabeth Gilbert,Biography & Autobiography,"3,8"
When the Elephants Dance,Tess Uriza Holthe,Fiction,"4,03"
The Spy who Loved Me,Ian Fleming,Adirondack Mountains (N.Y.),"3,4"
Octopussy,Ian Fleming,Fiction,"3,55"
The Blank Slate,Steven Pinker,Psychology,"4,08"
Good Poems,Garrison Keillor,Poetry,"4,18"
The Classic Ten,Nancy MacDonell Smith;Nancy MacDonell,Design,"3,43"
I Should be Extremely Happy in Your Company,Brian Hall,Fiction,"3,37"
Drop City,T. Coraghessan Boyle,Fiction,"3,85"
River of Shadows,Rebecca Solnit,Biography & Autobiography,"4,14"
The Life of Graham Greene: 1904-1939,Norman Sherry,Biography & Autobiography,"4,1"
Voice of the Violin,Andrea Camilleri,Fiction,"4,03"
Zazie in the Metro,Raymond Queneau,Fiction,"3,73"
Nuns and Soldiers,Iris Murdoch,Fiction,"3,93"
"Oliver and Albert, Friends Forever",Jean Van Leeuwen,Juvenile Fiction,"3,62"
The Philadelphia Adventure,Lloyd Alexander,Juvenile Fiction,"3,88"
Dirty Beasts,Roald Dahl,Juvenile Nonfiction,"4,02"
A Robin McKinley Collection,Robin McKinley,Juvenile Fiction,"4,39"
The Enormous Crocodile,Roald Dahl;Quentin Blake,Juvenile Fiction,"3,77"
Triss,Brian Jacques;David Elliot,Juvenile Fiction,"3,98"
Pippi Longstocking,Astrid Lindgren,Juvenile Fiction,"4,12"
The Far Side of Evil,Sylvia Engdahl,Juvenile Fiction,"3,98"
Moon-Flash,Patricia A. McKillip,Juvenile Fiction,"3,73"
Firebirds,Sharyn November,Juvenile Fiction,"3,96"
Charlie and the Chocolate Factory,Roald Dahl,Juvenile Fiction,"3,86"
Rock Star Superstar,Blake Nelson,Juvenile Fiction,"3,59"
Amber Brown Is Not a Crayon,Paula Danziger,Juvenile Fiction,"3,84"
The Tough Guide to Fantasyland,Diana Wynne Jones,Juvenile Nonfiction,"3,94"
Heat,Mike Lupica,Juvenile Fiction,"3,98"
The BFG,Roald Dahl;David Wood;Jane Walmsley,Juvenile Nonfiction,"4,26"
I'm Afraid You've Got Dragons,Peter S. Beagle,Juvenile Fiction,"4,1"
A Little Princess,Frances Hodgson Burnett,Fiction,"4,19"
The Letters of John and Abigail Adams,Abigail Adams,Literary Collections,"4,17"
Jane Eyre,Charlotte Brontë,Fiction,"4,11"
On the Road,Jack Kerouac,Fiction,"3,63"
The Portable Faulkner,William Faulkner,Literary Collections,"4,29"
The Power and the Glory,Graham Greene,Fiction,"3,99"
The Portable Dante,Dante Alighieri,Fiction,"4,23"
The Portable Arthur Miller,Arthur Miller,Drama,"4,19"
Agapē Agape,William Gaddis,Fiction,"3,81"
"In the Land of Time, and Other Fantasy Tales",Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,"4,12"
The Portable John Adams,John Adams,Biography & Autobiography,"4,11"
Aleph and other stories,Jorge Luis Borges;Andrew Hurley,Fiction,"4,38"
A Universal History of Iniquity,Jorge Luis Borges;Andrew Hurley,Fiction,"3,97"
Stamboul Train,Graham Greene,Fiction,"3,46"
Enchantress from the Stars,Sylvia Louise Engdahl,Juvenile Fiction,"3,94"
Castaways of the Flying Dutchman,Brian Jacques,Juvenile Fiction,"3,99"
Salamandastron,Brian Jacques;Gary Chalk,Juvenile Fiction,"4,06"
Riot,Shashi Tharoor,Adult children,"3,7"
Buddha,Karen Armstrong,Biography & Autobiography,"3,89"
Excursion to Tindari,Andrea Camilleri,Fiction,"4,03"
Alexander Hamilton,Ron Chernow,Biography & Autobiography,"4,24"
The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,"4,26"
Jane Austen,Carol Shields,Biography & Autobiography,"3,85"
The Liars' Club,Mary Karr,Biography & Autobiography,"3,93"
Democracy Matters,Cornel West,History,"3,94"
Windblown World,Jack Kerouac;Douglas Brinkley,Biography & Autobiography,"4,15"
The United States of Europe,T. R. Reid,History,"3,62"
The Christians and the Fall of Rome,Edward Gibbon,History,"3,57"
Why I Write,George Orwell,Language Arts & Disciplines,"4,03"
The Stone Diaries,Carol Shields,Fiction,"3,86"
Collapse,Jared M. Diamond,History,"3,93"
March,Geraldine Brooks,Fiction,"3,75"
The Mermaid Chair,Sue Monk Kidd,Fiction,"3,12"
Grammar Snobs are Great Big Meanies,June Casagrande,Humor,"3,78"
The City of Falling Angels,John Berendt,History,"3,54"
Bargaining for Advantage,G. Richard Shell,Business & Economics,"3,94"
The Memory Keeper's Daughter,Kim Edwards,Fiction,"3,65"
The Big Over Easy,Jasper Fforde,Fiction,"3,93"
The Read-aloud Handbook,Jim Trelease,Language Arts & Disciplines,"4,4"
Tooth and Claw,T. Coraghessan Boyle,Fiction,"3,82"
Rounding the Mark,Andrea Camilleri,Fiction,"4,06"
The Social Contract,Jean-Jacques Rousseau;Maurice Cranston,Philosophy,"3,76"
Fear and Trembling,Søren Kierkegaard,Philosophy,4
Bleak House,Charles Dickens;Nicola Bradbury,Fiction,"4,01"
Good Poems for Hard Times,Garrison Keillor,Poetry,"4,14"
Homegrown Democrat,Garrison Keillor,Political Science,"3,96"
Let My People Go Surfing,Yvon Chouinard,Business & Economics,"4,21"
The Joy Luck Club,Amy Tan,Fiction,"3,91"
The Kitchen God's Wife,Amy Tan,Fiction,4
The Bar on the Seine,Georges Simenon;David Watson,Fiction,"3,69"
"Eat, Pray, Love",Elizabeth Gilbert,Biography & Autobiography,"3,54"
The White Man's Burden,William Easterly,Business & Economics,"3,83"
The quiet American,Graham Greene;Robert Stone,Fiction,"3,97"
Complete Short Stories,Graham Greene,Fiction,"4,16"
World of Wonders,Robertson Davies;Wayne Johnston,Fiction,"4,1"
Sodom and Gomorrah,Marcel Proust,Fiction,"4,36"
The Grapes of Wrath,John Steinbeck,Fiction,"3,95"
The Tale of Genji,Murasaki Shikibu,Fiction,"3,71"
The Complete Novels,Jane Austen,Fiction,"4,55"
The Adventures of Augie March,Saul Bellow;Christopher Hitchens,Fiction,"3,85"
Malgudi Days,R. K. Narayan,Fiction,"4,21"
The Outsiders,S. E. Hinton;Jodi Picoult,Fiction,"4,08"
Sometimes a Great Notion,Ken Kesey,Fiction,"4,21"
The Book of Imaginary Beings,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,Fiction,"4,09"
Gravity's Rainbow,Thomas Pynchon,Fiction,"4,02"
Life is a Dream,Pedro Calderón de la Barca,Drama,"3,98"
Black Lamb and Grey Falcon,Rebecca West,History,"4,23"
Mrs. Dalloway,Virginia Woolf,Fiction,"3,79"
Animal Farm and 1984,George Orwell,Fiction,"4,28"
Janet Flanner's world,Janet Flanner;Irving Drutman,Fiction,"4,3"
The Stone Fey,Robin McKinley,Juvenile Fiction,"3,35"
How I Became a Pirate,Melinda Long;David Shannon,Juvenile Fiction,"4,08"
The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift;Lynd Ward,Juvenile Fiction,"4,26"
The Secret School,Avi,Juvenile Fiction,"3,78"
Winter is the Warmest Season,Lauren Stringer,Juvenile Fiction,"3,91"
Doomed Queen Anne,Carolyn Meyer,Juvenile Fiction,"3,87"
Gifts,Ursula K. Le Guin,Juvenile Fiction,"3,69"
The Hundred Dresses,Eleanor Estes,Juvenile Fiction,"4,09"
"Patience, Princess Catherine",Carolyn Meyer,Juvenile Fiction,"3,79"
Voices,Ursula K. Le Guin,Juvenile Fiction,"3,87"
Apple Pie Fourth of July,Janet S. Wong;Margaret Chodos-Irvine,Juvenile Fiction,"3,71"
Beauty Shop for Rent,Laura Bowers,Juvenile Fiction,"3,87"
Frankenstein Makes a Sandwich,Adam Rex,Juvenile Nonfiction,"4,21"
The Sleeping Giant and Other Stories,Eleanor Estes,Folklore,4
The Metamorphoses of Ovid,Allen Mandelbaum,Literary Criticism,"4,05"
Winterdance,Gary Paulsen,Pets,"4,25"
This Is the Way the World Ends,James Morrow,Fiction,"3,75"
The Double Flame,Octavio Paz,Literary Collections,"4,21"
All the King's Men,Robert Penn Warren,Fiction,"4,09"
Baltasar and Blimunda,José Saramago;Giovanni Pontiero,Fiction,"3,91"
The History of the Siege of Lisbon,José Saramago,Fiction,"3,8"
Slammerkin,Emma Donoghue,Fiction,"3,7"
Blindness,José Saramago;Giovanni Pontiero,Fiction,"4,11"
All the Names,José Saramago;Margaret Jull Costa,Fiction,"3,89"
"Poems, New and Collected, 1957-1997",Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,Poetry,"4,42"
The Last Life,Claire Messud,Fiction,"3,56"
The Tale of the Unknown Island,José Saramago,Fiction,"3,89"
Tales from Margaritaville,Jimmy Buffett,Fiction,"3,9"
The Cyberiad,Stanislaw Lem,Fiction,"4,18"
Four Comedies,Aristophanes;Dudley Fitts,Drama,"4,03"
The Common Reader,Virginia Woolf,Literary Collections,"4,17"
A Writer's Diary,Virginia Woolf;Leonard Woolf,Biography & Autobiography,"4,25"
Women and Writing,Virginia Woolf,Literary Criticism,"4,07"
The Cave,José Saramago,Fiction,"3,83"
"Gun, with Occasional Music",Jonathan Lethem,Fiction,"3,77"
A Drink Before the War,Dennis Lehane,Fiction,"3,95"
Baudolino,Umberto Eco,Fiction,"3,74"
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol,Fiction,"3,87"
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,Fiction,"3,76"
The Female of the Species,Joyce Carol Oates,Fiction,"3,6"
Flowers for Algernon,Daniel Keyes,Fiction,"4,11"
A Room of One's Own,Virginia Woolf;Susan Gubar,Fiction,"4,13"
To the Lighthouse,Virginia Woolf,Fiction,"3,77"
Kiffe Kiffe Tomorrow,Faïza Guène;Sarah Adams,Fiction,"3,38"
Rose of No Man's Land,Michelle Tea,Fiction,"3,51"
Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,Fiction,"3,86"
The People of Paper,Salvador Plascencia,Fiction,"4,09"
Virginia Woolf,Julia Briggs,Biography & Autobiography,"4,17"
On Literature,Umberto Eco,Literary Collections,"3,95"
The Pirates Laffite,William C. Davis,Biography & Autobiography,"3,51"
Foucault's Pendulum,Umberto Eco,Fiction,"3,9"
Between the Acts,Virginia Woolf,Fiction,"3,64"
Big Anthony and the Magic Ring,Tomie DePaola,Juvenile Fiction,"4,1"
The Collected Stories of Eudora Welty,Eudora Welty,Literary Collections,"4,23"
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,Fiction,"4,04"
The Diary of Anaïs Nin: 1939-1944,Anaïs Nin,"Authors, American","4,17"
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,"4,12"
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,"4,16"
The Diary of Virginia Woolf: 1915-1919,Virginia Woolf,Biography & Autobiography,"4,31"
The Diary of Virginia Woolf,Virginia Woolf,Biography & Autobiography,"4,37"
The Diary of Virginia Woolf: 1925-1930,Virginia Woolf,Biography & Autobiography,"4,43"
The Diary of Virginia Woolf: 1931-1935,Virginia Woolf,Biography & Autobiography,"4,44"
Diary Of Virginia Woolf Volume 5,Virginia Woolf,Biography & Autobiography,"4,49"
Difficult Loves,Italo Calvino,Fiction,"3,93"
The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,Biography & Autobiography,"4,18"
E. M. Forster,Philip Nicholas Furbank,Biography & Autobiography,"4,11"
Fiasco,Stanislaw Lem,Fiction,"4,12"
Henry and June,Anaïs Nin,"Authors, American","3,95"
Homage to Catalonia,George Orwell,History,"4,15"
Incest,Anaïs Nin,Biography & Autobiography,4
The Inheritors,William Golding,Fiction,"3,53"
Invisible Cities,Italo Calvino,Fiction,"4,17"
The Letters of Virginia Woolf: 1936-1941,Virginia Woolf,Biography & Autobiography,"4,47"
"Marcovaldo, Or, The Seasons in the City",Italo Calvino,Fiction,"3,88"
Moments of Being,Virginia Woolf,Biography & Autobiography,"4,26"
Mrs. Miniver,Jan Struther,Fiction,"3,96"
Murder in the Cathedral,Thomas Stearns Eliot,Drama,"3,76"
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,Fiction,"4,03"
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf,Fiction,"3,86"
The Orwell Reader,George Orwell,Literary Collections,"4,37"
The Philosophy of Andy Warhol,Andy Warhol,Art,"3,73"
Travels in Hyper Reality,Umberto Eco,Literary Collections,"3,89"
The Uses of Literature,Italo Calvino,Literary Criticism,"4,07"
The Virginia Woolf Reader,Virginia Woolf,Literary Criticism,"4,1"
The Waste Land,Thomas Stearns Eliot;Ezra Pound,Poetry,"4,11"
The Watcher & Other Stories,Italo Calvino,Fiction,"3,72"
The Waves,Virginia Woolf,Experimental fiction,"4,14"
More Readings from One Man's Wilderness,Richard Proenneke,Frontier and pioneer life,"4,42"
Party Shoes,Noel Streatfeild,Children's stories,"3,64"
Cart And Cwidder,Diana Wynne Jones,Juvenile Fiction,"3,84"
"Moby Dick, Or, The White Whale",Herman Melville;Geraldine McCaughrean;Victor G. Ambrus,Juvenile Fiction,"3,85"
Typhoon and Other Tales,Joseph Conrad,Fiction,"3,89"
Hegel: A Very Short Introduction,Peter Singer,Philosophy,"3,85"
Emma,Jane Austen,Literary Criticism,"3,99"
Persuasion,Jane Austen,Fiction,"4,13"
Mansfield Park,Jane Austen,Literary Criticism,"3,85"
Phaedrus,Plato;Robin Waterfield,Philosophy,"3,91"
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,History,"3,62"
The Major Works,John Milton,Literary Criticism,"4,22"
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,Fiction,"3,56"
A Christmas Carol and Other Christmas Books,Charles Dickens,Fiction,"4,12"
Candide and Other Stories,Voltaire,Fiction,"3,94"
The Picture of Dorian Gray,Oscar Wilde,Fiction,"4,07"
Confessions,Jean-Jacques Rousseau,Literary Criticism,"3,62"
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,Fiction,"3,99"
The First Philosophers,Robin Waterfield,Philosophy,"3,93"
The Antiquary,Sir Walter Scott,Fiction,"3,85"
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,Fiction,"3,73"
Orestes and Other Plays,Euripides;James Morwood,Literary Criticism,"4,07"
Jane Austen's Letters,Jane Austen,Fiction,"4,15"
Agricola and Germany,Tacitus,Literary Collections,"3,98"
Miss Or Mrs?,Wilkie Collins,Fiction,"3,79"
Great Expectations,Charles Dickens,Fiction,"3,76"
The Canterbury Tales,Geoffrey Chaucer;David Wright,Poetry,"3,49"
Complete Shorter Fiction,Oscar Wilde,Fiction,"4,16"
War and Peace,Leo Tolstoy;graf Leo Tolstoy,Fiction,"4,11"
The Castle of Otranto,Horace Walpole,Fiction,"3,18"
The Bostonians,Henry James,Fiction,"3,59"
The Divine Comedy,Dante Alighieri;Charles Hubert Sisson;David H. Higgins,Poetry,"4,07"
Hans Andersen's Fairy Tales,Hans Christian Andersen,Juvenile Fiction,"3,9"
The Karamazov Brothers,Fyodor Dostoevsky;Ignat Avsey,Fiction,"4,32"
Daisy Miller and Other Stories,Henry James,Fiction,"3,51"
Selected Philosophical Writings,Saint Thomas (Aquinas),Religion,"3,86"
The Ladies' Paradise,Émile Zola,Fiction,"3,99"
A Sentimental Education,Gustave Flaubert,Fiction,"3,83"
Faust,Johann Wolfgang von Goethe,Fiction,"3,73"
La Dame Aux Camélias,Alexandre Dumas;David Coward,Fiction,"3,99"
First Love and Other Stories,Ivan Sergeevich Turgenev,Fiction,"4,12"
The Confidence-man,Herman Melville,Literary Criticism,"3,66"
The Eclogues ; The Georgics,Virgil,Agriculture,"3,82"
Scenes of Clerical Life,George Eliot,Fiction,"3,78"
Jacques the Fatalist and His Master,Denis Diderot,Fiction,"3,84"
The Notebooks of Leonardo Da Vinci,Leonardo Da Vinci;Leonardo (da Vinci),Art,"3,92"
Eugene Onegin,Alexander Pushkin;James E. Falen,Fiction,"4,09"
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,James Matthew Barrie,Drama,"3,99"
La chartreuse de Parme,Jm Stendhal,Fiction,"3,82"
Mrs Dalloway,Virginia Woolf,First loves,"3,79"
Dubliners,James Joyce,Fiction,"3,85"
"Evelina, Or, The History of a Young Lady's Entrance Into the World",Fanny Burney,Fiction,"3,66"
Aesop's Fables,Laura Gibbs,Fiction,"4,05"
A Memoir of Jane Austen,James Edward Austen-Leigh,Biography & Autobiography,"3,83"
Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,Philosophy,"3,56"
Augustine: A Very Short Introduction,Henry Chadwick,Biography & Autobiography,"3,74"
The Origins of Life,John Maynard Smith;Eörs Szathmáry,Science,"4,11"
Augustine,Henry Chadwick,History,"3,74"
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Fiction,"3,92"
Growing Old in America,David Hackett Fischer,Religion,"4,2"
Alcestis,Euripides,Medical,"3,83"
Albion's Seed,David Hackett Fischer,Fiction,"4,31"
Inferno,Dante Alighieri,Literary Criticism,4
Paul Revere's Ride,David Hackett Fischer,Art,"4,11"
Justice Oliver Wendell Holmes,G. Edward White,Literary Criticism,"3,67"
Notebooks of the Mind,Vera John-Steiner,Psychology,"3,81"
Masters of Small Worlds,Stephanie McCurry,History,"3,71"
Ride of the Second Horseman,Robert L. O'Connell,History,"4,23"
The Great Wave,David Hackett Fischer,Business & Economics,"3,96"
Bakkhai,Euripides;Reginald Gibbons;Charles Segal,Drama,"3,86"
