Book,Author,Genres,Avg_Rating
Tuesdays with Morrie,Mitch Albom,"Nonfiction, Memoir, Biography, Classics, Inspirational, Philosophy, Self Help","4,16"
Slaughterhouse-Five,Kurt Vonnegut Jr.,"Classics, Fiction, Science Fiction, War, Historical Fiction, Literature, Novels","4,09"
The Old Man and the Sea,Ernest Hemingway,"Classics, Fiction, Literature, Novels, American, School, Adventure","3,8"
Catch-22,Joseph Heller,"Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels","3,99"
The Scarlet Letter,Nathaniel Hawthorne,"Classics, Fiction, Historical Fiction, School, Literature, High School, Historical","3,43"
Macbeth,William Shakespeare,"Classics, Plays, Fiction, School, Drama, Read For School, Literature","3,9"
Lolita,Vladimir Nabokov,"Classics, Fiction, Literature, Novels, Russia, Romance, Russian Literature","3,88"
The Metamorphosis,Franz Kafka,"Classics, Fiction, Fantasy, Philosophy, Literature, Short Stories, School","3,85"
The Time Travelers Wife,Audrey Niffenegger,"Fiction, Romance, Fantasy, Time Travel, Science Fiction, Contemporary, Adult","3,99"
Siddhartha,Hermann Hesse,"Classics, Fiction, Philosophy, Spirituality, Religion, Literature, Buddhism","4,06"
The Stranger,Albert Camus,"Classics, Fiction, Philosophy, France, Literature, Novels, French Literature","4,01"
Goodnight Moon,Margaret Wise Brown,"Childrens, Picture Books, Classics, Fiction, Poetry, Kids, Animals","4,3"
A Tree Grows in Brooklyn,Betty  Smith,"Classics, Fiction, Historical Fiction, Young Adult, Coming Of Age, Historical, New York","4,29"
War and Peace,Leo Tolstoy,"Classics, Fiction, Historical Fiction, Russia, Russian Literature, Literature, War","4,15"
A Clockwork Orange,Anthony Burgess,"Classics, Fiction, Science Fiction, Dystopia, Literature, Horror, Novels",4
All Quiet on the Western Front,Erich Maria Remarque,"Classics, Fiction, Historical Fiction, War, Historical, Literature, School","4,05"
The Stand,Stephen King,"Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia","4,34"
Don Quixote,Miguel de Cervantes Saavedra,"Classics, Fiction, Literature, Spanish Literature, Adventure, Historical Fiction, Novels","3,89"
Uncle Toms Cabin,Harriet Beecher Stowe,"Classics, Fiction, Historical Fiction, Literature, Historical, American, Novels","3,9"
Atlas Shrugged,Ayn Rand,"Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels","3,69"
The Brothers Karamazov,Fyodor Dostoevsky,"Classics, Fiction, Russia, Literature, Russian Literature, Philosophy, Novels","4,36"
The Poisonwood Bible,Barbara Kingsolver,"Fiction, Historical Fiction, Africa, Classics, Historical, Literary Fiction, Literature","4,09"
The Book of Mormon: Another Testament of Jesus Christ,Joseph Smith Jr.,"Religion, Nonfiction, Lds, Church, Spirituality, Classics, History","4,26"
"Moby-Dick or, the Whale",Herman Melville,"Classics, Fiction, Literature, Adventure, Historical Fiction, Novels, American","3,53"
Great Expectations,Charles Dickens,"Classics, Fiction, Literature, Historical Fiction, School, Novels, 19th Century","3,79"
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,"Nonfiction, Biography, History, Christian, Memoir, Classics, Holocaust","4,45"
Dracula,Bram Stoker,"Classics, Horror, Fiction, Fantasy, Vampires, Gothic, Paranormal","4,01"
The Fault in Our Stars,John Green,"Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Teen, Coming Of Age","4,15"
Matilda,Roald Dahl,"Childrens, Fiction, Classics, Fantasy, Middle Grade, Young Adult, Humor","4,33"
The Perks of Being a Wallflower,Stephen Chbosky,"Young Adult, Fiction, Contemporary, Classics, Mental Health, Realistic Fiction, LGBT","4,22"
