Book,Author,Genres,Avg_Rating
Happiness Power: How to Unleash Your Power and Live a More Joyful Life,Robert Gill Jr.,Self Help,"4,34"
Escape from Camp 14: One Mans Remarkable Odyssey from North Korea to Freedom in the West,Blaine Harden,"Nonfiction, Biography, History, Memoir, Politics, Asia, Biography Memoir",4
Eleven Minutes,Paulo Coelho,"Fiction, Romance, Novels, Contemporary, Philosophy, Literature, Adult","3,71"
Beach Music,Pat Conroy,"Fiction, Southern, Contemporary, Historical Fiction, Novels, Drama, Literature","4,17"
Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza,"Nonfiction, Memoir, Biography, History, Africa, Christian, Religion","4,42"
Franz Kafkas The Castle,David Fishelson,"Classics, Fiction, Literature, Philosophy, Novels, German Literature, Czech Literature","4,1"
Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,"Nonfiction, Self Help, Writing, Audiobook, Personal Development, Art, Psychology","3,95"
The Warmth of Other Suns: the Epic Story of Americas Great Migration,Isabel Wilkerson,"History, Nonfiction, Race, American History, African American, Social Justice, Biography","4,45"
Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,Anna Ruston,"Nonfiction, True Crime, Audiobook, Memoir, Biography, Abuse, Crime","4,22"
"One Fish, Two Fish, Red Fish, Blue Fish",Dr. Seuss,"Childrens, Picture Books, Fiction, Classics, Poetry, Animals, Fantasy","4,17"
Hotel on the Corner of Bitter and Sweet,Jamie Ford,"Historical Fiction, Fiction, Historical, Romance, World War II, Book Club, Adult Fiction","4,03"
Immortality,Milan Kundera,"Fiction, Philosophy, Czech Literature, Novels, Literature, Classics, Contemporary","4,14"
The Silver Sphere,Michael Dadich,"Fantasy, Young Adult, Science Fiction, Paranormal, Urban Fantasy, Novels, Young Adult Fantasy","4,11"
The Time Keeper,Mitch Albom,"Fiction, Fantasy, Inspirational, Contemporary, Adult, Adult Fiction, Time Travel","3,88"
Suvashun,Simin Daneshvar,"Novels, Iran, Fiction, Literature, Historical Fiction, Romance, Classics","3,95"
Emotional Intelligence: Why It Can Matter More Than IQ,Daniel Goleman,"Psychology, Nonfiction, Self Help, Business, Personal Development, Science, Leadership","4,04"
"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made",Greg Sestero,"Nonfiction, Memoir, Biography, Film, Humor, Audiobook, Comedy","4,28"
Nothing to Envy: Ordinary Lives in North Korea,Barbara Demick,"Nonfiction, History, Politics, Asia, Biography, Audiobook, Journalism","4,44"
The Killer Inside Me,Jim Thompson,"Fiction, Crime, Mystery, Noir, Thriller, Horror, Classics","3,86"
The Opposite of Loneliness: Essays and Stories,Marina Keegan,"Nonfiction, Short Stories, Essays, Memoir, Contemporary, Biography, Audiobook","3,85"
Wishful Drinking,Carrie Fisher,"Nonfiction, Memoir, Biography, Humor, Audiobook, Autobiography, Biography Memoir","3,81"
A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,"Philosophy, Nonfiction, Classics, History, Martial Arts, Japan, Business","3,99"
Tears of the Silenced,Misty Griffin,"Nonfiction, True Crime, Memoir, Amish, Religion, Biography, Abuse","4,27"
Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Productivity, Nonfiction, Self Help, Personal Development, Business, Psychology, Technology","4,11"
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,"Nonfiction, History, Adventure, Travel, Biography, Audiobook, Historical","3,86"
Goose Island,Lucinda   Davis,Thriller,"4,49"
BEHIND CLOSED DOORS: A Daughters Story,Daniella Dechristopher,"Nonfiction, Memoir, Abuse, True Crime, Thriller, Biography","4,01"
Pope Joan,Donna Woolfolk Cross,"Historical Fiction, Fiction, Historical, Religion, Book Club, Medieval, Italy","4,08"
Dewey: The Small-Town Library Cat Who Touched the World,Vicki Myron,"Nonfiction, Animals, Memoir, Cats, Biography, Adult, Biography Memoir","3,86"
Cocaine Nights,J.G. Ballard,"Fiction, Mystery, Crime, Dystopia, Thriller, British Literature, Literature","3,55"
Night Film,Marisha Pessl,"Mystery, Fiction, Horror, Thriller, Mystery Thriller, Adult, Suspense","3,78"
Bill of Human Wrongs,C. Michaels,"Mystery Thriller, Politics, Thriller","4,25"
The One and Only Ivan,Katherine Applegate,"Middle Grade, Fiction, Animals, Childrens, Young Adult, Fantasy, Juvenile","4,27"
The Scare,Robert   Shaw,"Horror, Paranormal, Science Fiction Fantasy, Young Adult","3,79"
Interpreter of Maladies,Jhumpa Lahiri,"Short Stories, Fiction, India, Contemporary, Literary Fiction, Literature, Indian Literature","4,17"
The Portrait of a Lady,Henry James,"Classics, Fiction, Literature, 19th Century, Novels, Historical Fiction, Romance","3,79"
102 Minutes: The Untold Story of the Fight to Survive Inside the Twin Towers,Jim Dwyer,"Nonfiction, History, American History, True Crime, Terrorism, Survival, Biography","4,28"
Neither Here nor There: Travels in Europe,Bill Bryson,"Travel, Nonfiction, Humor, Memoir, Biography, Audiobook, Travelogue","3,85"
The Thief Lord,Cornelia Funke,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Mystery","3,98"
The Kitchen Gods Wife,Amy Tan,"Fiction, Historical Fiction, China, Asia, Contemporary, Asian Literature, Novels","4,03"
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Nonfiction, Science, History, Medicine, Medical, Health, Biology","4,32"
Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"Nonfiction, Self Help, Business, Productivity, Personal Development, Psychology, Philosophy","4,07"
The Invention of Wings,Sue Monk Kidd,"Historical Fiction, Fiction, Historical, Book Club, Audiobook, Adult, Adult Fiction","4,25"
The Road to Serfdom,Friedrich A. Hayek,"Economics, Politics, Philosophy, Nonfiction, History, Classics, Political Science","4,16"
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Nonfiction, Self Help, Productivity, Business, Psychology, Personal Development, Audiobook","4,19"
Liars Poker (Norton Paperback),Michael   Lewis,"Nonfiction, Business, Finance, Economics, History, Biography, Memoir","4,15"
The Sex Lives of Siamese Twins,Irvine Welsh,"Fiction, Thriller, Mystery, Contemporary, Dark, Adult, Novels","3,65"
Hidden Figures,Margot Lee Shetterly,"Nonfiction, History, Science, Biography, Audiobook, Feminism, Historical","3,97"
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Nonfiction, Memoir, Biography, Audiobook, Politics, Biography Memoir, Sociology","3,88"
Sleepers,Lorenzo Carcaterra,"Fiction, Crime, True Crime, Thriller, Mystery, Mystery Thriller, Abuse","4,25"
Invisible Monsters Remix,Chuck Palahniuk,"Fiction, Contemporary, Thriller, Novels, Horror, Mystery, Humor",4
The End of Everything,Megan Abbott,"Fiction, Mystery, Young Adult, Thriller, Contemporary, Mystery Thriller, Crime","3,36"
The Sluts,Dennis Cooper,"Fiction, Horror, LGBT, Queer, Gay, Contemporary, Thriller","3,83"
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,"Nonfiction, Science, Psychology, Neuroscience, Brain, Health, Self Help","4,2"
Wild at Heart: Discovering the Secret of a Mans Soul,John Eldredge,"Christian, Nonfiction, Christianity, Religion, Christian Living, Faith, Spirituality","3,93"
America (The Book): A Citizens Guide to Democracy Inaction,Jon   Stewart,"Humor, Nonfiction, Politics, Comedy, History, Audiobook, American History",4
Self-Reliance and Other Essays,Ralph Waldo Emerson,"Philosophy, Classics, Nonfiction, Essays, Literature, History, Poetry","4,13"
Grit: The Power of Passion and Perseverance,Angela Duckworth,"Nonfiction, Psychology, Self Help, Business, Personal Development, Audiobook, Leadership","4,08"
Holidays on Ice,David Sedaris,"Humor, Nonfiction, Short Stories, Memoir, Essays, Christmas, Audiobook","3,9"
The Bone People,Keri Hulme,"Fiction, Magical Realism, Literary Fiction, Contemporary, Historical Fiction, Novels, Literature","4,05"
"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,"Nonfiction, Science, Psychology, Business, Technology, Economics, Sociology","3,91"
Phenomena: The Lost and Forgotten Children,Susan Tarr,"Historical Fiction, Mental Health, Psychology, Fiction, Inspirational, Childrens, Eugenics","4,13"
The Lucky One,Nicholas Sparks,"Romance, Fiction, Chick Lit, Contemporary, Adult, Contemporary Romance, Adult Fiction","4,12"
How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Nonfiction, Self Help, Education, Books About Books, Writing, Reference, Personal Development","3,98"
A Man Without a Country,Kurt Vonnegut Jr.,"Nonfiction, Essays, Memoir, Humor, Classics, Biography, Politics","4,09"
How to Not Be an Idiot When You Get Divorced,Jaeson D. Rau,"Self Help, Humor, Adult, Nonfiction, Psychology, Guidebook, New Adult","4,18"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Fiction, Romance, Historical Fiction, LGBT, Contemporary, Audiobook, Adult","4,45"
Lost Identity (The Remmich/Miller Series Book 1),Karl Braungart,"Contemporary, Novels, Epic, Fiction","4,29"
Equating the Equations of Insanity: A Journey from Grief to Victory,Durgesh Satpathy,"Self Help, Inspirational, Psychology, Mental Health, Nonfiction, Business","3,83"
Beneath a Scarlet Sky,Mark T. Sullivan,"Historical Fiction, Fiction, World War II, Historical, War, Italy, Audiobook","4,43"
The Beach,Alex Garland,"Fiction, Travel, Thriller, Adventure, Contemporary, Asia, Novels","3,96"
Piercing,Ry? Murakami,"Horror, Fiction, Japanese Literature, Japan, Thriller, Asia, Crime","3,66"
Curse of The Salute,Anastacia Moore,Horror,"3,55"
How We Decide,Jonah Lehrer,"Nonfiction, Psychology, Science, Business, Self Help, Neuroscience, Economics","3,84"
Coin Locker Babies,Ry? Murakami,"Fiction, Japan, Japanese Literature, Horror, Contemporary, Novels, Asian Literature","3,79"
"I, the Sun",Janet E. Morris,"Historical Fiction, Historical, Fiction, Egypt, Ancient History, Ancient, Epic","4,21"
Dead Mens Trousers,Irvine Welsh,"Fiction, Scotland, Novels, Thriller, Crime, Mystery, Humor","4,16"
Still Life with Woodpecker,Tom Robbins,"Fiction, Humor, Literature, Novels, Magical Realism, Classics, Contemporary","4,03"
Cleopatra: A Life,Stacy Schiff,"History, Biography, Nonfiction, Historical, Egypt, Biography Memoir, Audiobook","3,72"
Let the Great World Spin,Colum McCann,"Fiction, Historical Fiction, New York, Book Club, Novels, Literary Fiction, Contemporary","3,95"
"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,"Nonfiction, Science, Psychology, Health, Self Help, Philosophy, Audiobook","4,26"
The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"Nonfiction, Psychology, Politics, Philosophy, Religion, Science, Sociology","4,21"
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,J.K. Rowling,"Nonfiction, Self Help, Essays, Inspirational, Adult, Philosophy, Memoir","4,11"
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright,"Nonfiction, Religion, History, Cults, Audiobook, Biography, Psychology","4,04"
Eye of the Needle,Ken Follett,"Fiction, Historical Fiction, Thriller, Mystery, Espionage, Suspense, War","4,2"
"84, Charing Cross Road",Helene Hanff,"Nonfiction, Books About Books, Memoir, Classics, Biography, Biography Memoir, British Literature","4,16"
Dead Babies,Martin Amis,"Fiction, Thriller, Contemporary, Novels, British Literature, Mystery, 20th Century","3,37"
"Same Kind of Different as Me: A Modern-Day Slave, an International Art Dealer, and the Unlikely Woman Who Bound Them Together",Ron Hall,"Nonfiction, Memoir, Christian, Biography, Inspirational, Book Club, Faith","4,19"
An American Tragedy,Theodore Dreiser,"Classics, Fiction, Literature, Historical Fiction, American, Novels, Banned Books","3,96"
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Nonfiction, Self Help, Philosophy, Productivity, Psychology, Personal Development, Audiobook","4,25"
Save Yourself,Kelly Braffet,"Fiction, Thriller, Mystery Thriller, Contemporary, Mystery, Dark, Suspense","3,46"
The Pact,Jodi Picoult,"Fiction, Romance, Contemporary, Chick Lit, Drama, Mystery, Adult Fiction","4,02"
Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls,Lauren Graham,"Nonfiction, Memoir, Audiobook, Biography, Humor, Autobiography, Biography Memoir","3,95"
Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,"Writing, Nonfiction, Memoir, Self Help, Essays, Reference, Biography","4,23"
The Grand Design,Stephen Hawking,"Science, Nonfiction, Physics, Philosophy, Astronomy, Popular Science, Audiobook","4,06"
The Cement Garden,Ian McEwan,"Fiction, Contemporary, British Literature, Novels, Literary Fiction, Literature, 20th Century","3,55"
Salt Sugar Fat: How the Food Giants Hooked Us,Michael  Moss,"Nonfiction, Food, Health, Science, Nutrition, Audiobook, History",4
Unwifeable: A Memoir,Mandy Stadtmiller,"Memoir, Nonfiction, Womens, Biography, Humor, Biography Memoir, Autobiography","3,52"
Big Sur,Jack Kerouac,"Fiction, Classics, Literature, Novels, American, Travel, 20th Century","3,84"
The Pale-Faced Lie,David   Crow,"Nonfiction, Memoir, True Crime, Biography, Audiobook, Biography Memoir, Autobiography","4,29"
The Death of Bunny Munro,Nick Cave,"Fiction, Contemporary, Novels, Thriller, Music, Literature, Audiobook","3,44"
The Stone Diaries,Carol Shields,"Fiction, Canada, Historical Fiction, Literary Fiction, Literature, Novels, Classics","3,88"
Kicker,R. Grey Hoover,Historical Fiction,"4,1"
Hoodwinked: Uncovering Our Fundamental Superstitions,Larry  Gottlieb,Nonfiction,"4,33"
Skipping Christmas,John Grisham,"Fiction, Christmas, Humor, Holiday, Contemporary, Adult, Audiobook","3,54"
The Largesse of the Sea Maiden: Stories,Denis Johnson,"Short Stories, Fiction, Literary Fiction, Literature, American, Audiobook, Contemporary","3,93"
Orange Is the New Black,Piper Kerman,"Nonfiction, Memoir, Biography, Audiobook, Biography Memoir, Autobiography, Crime","3,72"
The Great Alone,Kristin Hannah,"Fiction, Historical Fiction, Audiobook, Historical, Romance, Adult, Adult Fiction","4,39"
The Swiss Family Robinson,Johann David Wyss,"Classics, Fiction, Adventure, Childrens, Young Adult, Historical Fiction, Literature","3,91"
What Dreams May Come,Richard Matheson,"Fiction, Fantasy, Romance, Horror, Science Fiction, Death, Classics","3,95"
Sons and Lovers,D.H. Lawrence,"Classics, Fiction, Literature, Novels, British Literature, Romance, 20th Century","3,64"
Invisible,Paul Auster,"Fiction, Contemporary, American, Literature, Novels, Literary Fiction, The United States Of America","3,73"
Memoirs of Hadrian,Marguerite Yourcenar,"Historical Fiction, Fiction, Classics, France, Historical, Literature, Philosophy","4,23"
The Girl Who Loved Tom Gordon,Stephen King,"Horror, Fiction, Thriller, Suspense, Mystery, Fantasy, Audiobook","3,62"
The Bachman Books,Richard Bachman,"Horror, Fiction, Short Stories, Thriller, Science Fiction, Fantasy, Suspense","4,14"
Ill Give You the Sun,Jandy Nelson,"Young Adult, Contemporary, LGBT, Romance, Fiction, Realistic Fiction, Queer","4,16"
My Life on the Road,Gloria Steinem,"Nonfiction, Feminism, Memoir, Biography, Audiobook, Womens, Biography Memoir","4,06"
The Accidental Tourist,Anne Tyler,"Fiction, Contemporary, Romance, Literary Fiction, Novels, Adult Fiction, Literature","3,9"
The Dharma Bums,Jack Kerouac,"Fiction, Classics, Literature, Novels, Travel, American, Philosophy","3,93"
"Jesus the Christ: A Study of the Messiah and His Mission According to Holy Scriptures, Both Ancient and Modern",James E. Talmage,"Religion, Lds, Nonfiction, Church, Spirituality, Biography, Inspirational","4,62"
The Lusiads,Luís de Camões,"Poetry, Classics, Portuguese Literature, Portugal, Fiction, Literature, Epic",4
The Woods,Harlan Coben,"Mystery, Thriller, Fiction, Crime, Mystery Thriller, Suspense, Audiobook","4,05"
The Forty Rules of Love,Elif Shafak,"Fiction, Historical Fiction, Novels, Romance, Philosophy, Spirituality, Turkish Literature","4,13"
The Casual Vacancy,J.K. Rowling,"Fiction, Contemporary, Mystery, Adult, Adult Fiction, Drama, Unfinished","3,3"
Filth,Irvine Welsh,"Fiction, Crime, Contemporary, Mystery, Novels, Thriller, Scotland","3,8"
Wives and Daughters,Elizabeth Gaskell,"Classics, Fiction, Romance, Historical Fiction, 19th Century, Victorian, Literature","4,12"
Fingersmith,Sarah Waters,"Historical Fiction, Fiction, LGBT, Historical, Romance, Mystery, Queer","4,02"
The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,Denise Kiernan,"Nonfiction, History, World War II, Science, Historical, War, American History","3,71"
How to Read Literature Like a Professor,Thomas C. Foster,"Nonfiction, School, Books About Books, Writing, Education, Literature, Read For School","3,63"
The Incredible Journey,Sheila Burnford,"Fiction, Classics, Animals, Childrens, Adventure, Young Adult, Dogs","4,16"
The Lost City of the Monkey God,Douglas Preston,"Nonfiction, History, Adventure, Travel, Science, Audiobook, Archaeology","3,92"
The Complete Anne of Green Gables 8-Book Box Set,L.M. Montgomery,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Romance, Middle Grade","4,44"
Being Mortal: Medicine and What Matters in the End,Atul Gawande,"Nonfiction, Medicine, Science, Health, Medical, Philosophy, Death","4,48"
If Life Is a Bowl of Cherries What Am I Doing in the Pits?,Erma Bombeck,"Humor, Nonfiction, Comedy, Memoir, Essays, Biography, Adult","4,03"
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking,"Nonfiction, Self Help, Psychology, Audiobook, Philosophy, Personal Development, Denmark","3,76"
The Informers,Bret Easton Ellis,"Fiction, Short Stories, Contemporary, American, Literature, Thriller, Novels","3,39"
Sadako and the Thousand Paper Cranes,Eleanor Coerr,"Historical Fiction, Childrens, Fiction, Young Adult, Middle Grade, Japan, Classics","4,12"
The Complete Novels,Jane Austen,"Classics, Fiction, Romance, Historical Fiction, Literature, Historical, Classic Literature","4,57"
The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,"Nonfiction, Memoir, Art, Essays, Biography, Psychology, New York","3,92"
Desert Solitaire,Edward Abbey,"Nonfiction, Nature, Memoir, Travel, Environment, Adventure, Biography","4,19"
Cold Comfort Farm,Stella Gibbons,"Fiction, Classics, Humor, Historical Fiction, British Literature, Comedy, 20th Century","3,89"
Joyland,Stephen King,"Horror, Mystery, Fiction, Thriller, Crime, Mystery Thriller, Audiobook","3,93"
Go Tell It on the Mountain,James Baldwin,"Fiction, Classics, African American, Race, Literature, Novels, Religion","4,03"
The Persecution of Mildred Dunlap,Paulette Mahurin,"Historical Fiction, Fiction, LGBT, Historical, Amazon, Queer, Social Issues","3,89"
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Nonfiction, Science, Psychology, Self Help, Memoir, Personal Development, Audiobook","3,88"
What We Talk About When We Talk About Love,Raymond Carver,"Short Stories, Fiction, Classics, American, Literature, Contemporary, Literary Fiction","4,07"
Title: Audition,Ry? Murakami,"Horror, Fiction, Japanese Literature, Japan, Thriller, Mystery, Contemporary","3,52"
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemo?lu,"Economics, Nonfiction, Politics, History, Business, Political Science, Sociology","4,08"
Ragtime,E.L. Doctorow,"Fiction, Historical Fiction, Classics, Novels, Literature, Historical, American","3,89"
Awoken,Timothy   Miller,"Fantasy, Fiction, Young Adult","4,15"
Letters From Your Soul,Victor Noble,"Spirituality, Poetry, Nonfiction","4,32"
Out,Natsuo Kirino,"Fiction, Japan, Thriller, Mystery, Japanese Literature, Crime, Horror","3,95"
The Lover,Marguerite Duras,"Fiction, Classics, France, Romance, French Literature, Literature, Historical Fiction","3,73"
The Law,Bastiat Frederic,"Politics, Philosophy, Economics, Nonfiction, Law, Classics, History","4,35"
"The Witches: Salem, 1692",Stacy Schiff,"History, Nonfiction, Historical, Witches, Audiobook, American History, Religion","3,24"
False Step,Victoria Helen Stone,"Thriller, Fiction, Mystery, Suspense, Mystery Thriller, Contemporary, Adult","3,61"
Understanding Power: The Indispensable Chomsky,Noam Chomsky,"Politics, Nonfiction, Philosophy, History, Economics, Political Science, Sociology","4,42"
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"Nonfiction, Self Help, Buddhism, Spirituality, Philosophy, Psychology, Religion","4,28"
Frankie the Ferret,Kimberley   Paterson,"Picture Books, Fiction, Drama, Contemporary, Animals","4,33"
Swan Song,Robert McCammon,"Horror, Fiction, Post Apocalyptic, Fantasy, Science Fiction, Dystopia, Apocalyptic","4,29"
The Twilight Saga,Stephenie Meyer,"Fantasy, Young Adult, Romance, Vampires, Fiction, Paranormal, Paranormal Romance","3,92"
Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Business, Nonfiction, Psychology, Leadership, Self Help, Communication, Design","3,98"
Almost Transparent Blue,Ry? Murakami,"Fiction, Japan, Japanese Literature, Contemporary, Horror, Asia, Literature","3,29"
Arcadia,Tom Stoppard,"Plays, Drama, Fiction, Classics, Theatre, Historical Fiction, School","4,14"
Ill Be Gone in the Dark: One Womans Obsessive Search for the Golden State Killer,Michelle McNamara,"Nonfiction, True Crime, Audiobook, Crime, Mystery, History, Memoir","4,12"
Angels,Denis Johnson,"Fiction, Novels, Literature, Literary Fiction, Crime, American, Contemporary","3,95"
A Girl Named Zippy,Haven Kimmel,"Memoir, Nonfiction, Humor, Biography, Biography Memoir, Autobiography, Book Club","3,8"
The Chronicle of Sapta Sindhu,Aporva Kala,"War, Iran, India, Romance, Pakistan, Love, Mythology","3,52"
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Nonfiction, Business, True Crime, Audiobook, Science, Crime, Biography","4,41"
Eugene Onegin,Alexander Pushkin,"Classics, Poetry, Russia, Fiction, Russian Literature, Literature, 19th Century","4,1"
The Covert Passive Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse (The Narcissism Series Book 1),Debbie Mirza,"Psychology, Self Help, Nonfiction, Mental Health, Relationships, Abuse, Personal Development","4,31"
Pro Truth: A Practical Plan for Putting Truth Back Into Politics,Gleb Tsipursky,"Politics, Nonfiction, Psychology, Philosophy, Journalism, Political Science, Sociology","4,45"
Lab Girl,Hope Jahren,"Nonfiction, Science, Memoir, Biography, Nature, Audiobook, Biography Memoir","3,98"
Scrappy Little Nobody,Anna Kendrick,"Nonfiction, Memoir, Audiobook, Biography, Humor, Autobiography, Biography Memoir","3,86"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kond?,"Nonfiction, Self Help, Audiobook, Personal Development, Psychology, Japan, Productivity","3,87"
Love is the Answer God is the Cure,Aimee Cabo Nikolov,"Contemporary, Nonfiction, Adult, True Story, Abuse, Drama, Book Club","4,29"
Crime,Irvine Welsh,"Fiction, Crime, Thriller, Mystery, Scotland, Novels, Contemporary","3,59"
Understanding Comics: The Invisible Art,Scott McCloud,"Comics, Nonfiction, Graphic Novels, Art, Design, Graphic Novels Comics, Writing",4
The Life and Times of the Thunderbolt Kid,Bill Bryson,"Nonfiction, Memoir, Humor, Biography, Autobiography, Audiobook, History","3,93"
A Beautiful Mind,Sylvia Nasar,"Biography, Nonfiction, Psychology, Science, Mathematics, History, Biography Memoir","4,13"
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Nonfiction, Psychology, Self Help, Philosophy, Personal Development, Audiobook, Unfinished","3,93"
The Bacchae,Euripides,"Classics, Plays, Drama, Mythology, Fiction, Theatre, Poetry","3,9"
The Bridges of Madison County,Robert James Waller,"Fiction, Romance, Classics, Chick Lit, Contemporary, Novels, Adult","3,67"
Kon-Tiki,Thor Heyerdahl,"Nonfiction, Travel, Adventure, History, Classics, Biography, Memoir","4,15"
In a Sunburned Country,Bill Bryson,"Travel, Nonfiction, Humor, Australia, Memoir, Audiobook, History","4,07"
"Absalom, Absalom!",William Faulkner,"Classics, Fiction, Literature, American, Novels, Historical Fiction, Southern Gothic","3,97"
Girl Wash your Face,Rachel Hollis,"Nonfiction, Self Help, Audiobook, Personal Development, Memoir, Christian, Adult","3,6"
Two Treatises of Government,John Locke,"Philosophy, Politics, Nonfiction, Classics, History, Political Science, Law","3,87"
Mister Pip,Lloyd Jones,"Fiction, Historical Fiction, War, Young Adult, Contemporary, Literary Fiction, Historical","3,67"
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrists Notebook,Bruce D. Perry,"Psychology, Nonfiction, Mental Health, Social Work, Science, Parenting, Education","4,58"
The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Science, Nonfiction, Biology, Evolution, Philosophy, Religion, Atheism","4,09"
Villette,Charlotte Brontë,"Classics, Fiction, Romance, 19th Century, Victorian, Literature, Gothic","3,77"
Mother Night,Kurt Vonnegut Jr.,"Fiction, Classics, Historical Fiction, War, Literature, Novels, Humor","4,22"
Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Science, Nonfiction, Audiobook, Physics, Space, Astronomy, History","4,09"
Antifragile: Things That Gain from Disorder,Nassim Nicholas Taleb,"Nonfiction, Philosophy, Business, Economics, Psychology, Science, Finance","4,1"
The Bedroom Secrets of the Master Chefs,Irvine Welsh,"Fiction, Contemporary, Scotland, Novels, Thriller, Drama, Adult","3,52"
A Gentleman in Moscow,Amor Towles,"Historical Fiction, Fiction, Historical, Russia, Audiobook, Book Club, Literary Fiction","4,34"
Housekeeping,Marilynne Robinson,"Fiction, Classics, Literary Fiction, Novels, Literature, Contemporary, American","3,81"
Inspired by The Holy Ghost,Aimee Cabo Nikolov,"How To, Book Club, Education, Nonfiction, Inspirational","4,29"
Midnight Sun [2008 Draft],Stephenie Meyer,"Young Adult, Fantasy, Vampires, Romance, Paranormal, Fiction, Paranormal Romance","4,01"
Horns,Joe Hill,"Horror, Fiction, Fantasy, Thriller, Mystery, Supernatural, Paranormal","3,93"
When You Are Engulfed in Flames,David Sedaris,"Humor, Nonfiction, Memoir, Essays, Short Stories, Comedy, Audiobook","4,07"
Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,"History, Nonfiction, Philosophy, Politics, Holocaust, Psychology, War","4,2"
The Wave,Todd Strasser,"Young Adult, Fiction, School, Classics, Historical Fiction, Read For School, Contemporary","3,6"
The Age of Reason,Thomas Paine,"Philosophy, Nonfiction, Classics, Religion, History, Politics, Atheism","4,12"
"Bless Me, Ultima",Rudolfo Anaya,"Fiction, Classics, Magical Realism, Young Adult, School, Historical Fiction, Banned Books","3,81"
A Street Cat Named Bob: How One Man and His Cat Found Hope on the Streets,James Bowen,"Nonfiction, Animals, Biography, Cats, Memoir, Autobiography, Biography Memoir","3,97"
Wir Kinder vom Bahnhof Zoo,Christiane Vera Felscherinow,"Nonfiction, Biography, German Literature, Classics, Memoir, Germany, Contemporary","4,31"
Timeline,Michael Crichton,"Science Fiction, Fiction, Thriller, Time Travel, Historical Fiction, Fantasy, Adventure","3,86"
Firestarter,Stephen King,"Horror, Fiction, Thriller, Science Fiction, Fantasy, Paranormal, Suspense","3,91"
"We Got Zombies On The Lawn Again, Ma",Donnie  Smith,"Zombies, Horror, Fiction, Fantasy, Humor","3,44"
The Sorrows of Young Mike,John Zelazny,"Contemporary, Fiction, Novels, Literature","3,63"
The Invisible Game: Mindset of a Winning Team,Zoltan Andrejkovics,"Psychology, Gaming, Nonfiction, Self Help, Sports, Leadership, Games","4,36"
Goblinheart,Brett Axel,"Picture Books, LGBT, Childrens, Fantasy, Transgender, Fiction, Gender","4,43"
Purple Hibiscus,Chimamanda Ngozi Adichie,"Fiction, Africa, Historical Fiction, Nigeria, Contemporary, Literary Fiction, African Literature","4,18"
The Legendary Wolf,Ammar Habib,"Thriller, Action, Westerns, Military Fiction, Fiction, Espionage, Mystery","4,28"
The Power of a Praying Wife,Stormie Omartian,"Christian, Marriage, Nonfiction, Faith, Prayer, Spirituality, Christian Living","4,33"
